Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
I0.TP10:mbeta, 0.0171157, -0.00522659, -0.0290047
I0.TP10:mvth0, 0.0572985, -0.00617086, -0.108426
I0.TP1:mbeta, 0.0751084, 0.129257, -0.0209594
I0.TP1:mvth0, 0.0386203, 0.0331299, -0.0441108
I0.TP2:mbeta, 0.113115, 0.0284645, -0.197766
I0.TP2:mvth0, 0.0834788, 0.111667, 0.0552907
I0.TP3:mbeta, 0.0524038, -0.0958987, -0.00890899
I0.TP3:mvth0, 0.111427, 0.0594352, 0.16342
I0.TP4:mbeta, 0.141864, -0.036193, -0.247535
I0.TP4:mvth0, 0.0658415, -0.0501055, -0.0815774
I0.TP5:mbeta, 0.0664985, -0.0310278, 0.101969
I0.TP5:mvth0, 0.070115, -0.0460902, -0.0941399
I0.TP6:mbeta, 0.102974, 0.131262, -0.0746853
I0.TP6:mvth0, 0.761275, -1.17015, 0.352404
I0.TP7:mbeta, 0.0253983, -0.0295049, 0.0212916
I0.TP7:mvth0, 0.171162, -0.0315603, -0.310764
I0.TP8:mbeta, 0.0706222, -0.0349048, -0.10634
I0.TP8:mvth0, 0.326592, 0.544414, 0.10877

Input Normalized MultiVariate Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.0192453, 0.0128881, 0.0256025
I0.C3:mmcap, 0.0153583, 0.0199448, -0.0107718
I0.C4:mmcap, 0.0118584, 0.00311368, -0.0206032
I0.TN0:mbeta, 0.0116551, 0.0223536, 0.000956579
I0.TN0:mvth0, 0.0207381, -0.0232781, 0.0181981
I0.TN13:mbeta, 0.0082479, 0.0111744, -0.00532142
I0.TN13:mvth0, 0.0191508, -0.0168382, -0.0214633
I0.TN14:mbeta, 0.0530815, -0.0197926, -0.0863704
I0.TN14:mvth0, 0.0343115, -0.0534983, 0.0151248
I0.TN15:mbeta, 0.0121114, -0.00787576, 0.016347
I0.TN15:mvth0, 0.0569495, 0.0357978, 0.0781012
I0.TN16:mbeta, 0.0125438, -0.0199882, -0.00509931
I0.TN16:mvth0, 0.0211304, -0.0347812, 0.00747949
I0.TN3:mbeta, 0.0366666, -0.0316313, -0.0417019
I0.TN3:mvth0, 0.150249, 0.231833, -0.0686648
I0.TN4:mbeta, 0.011496, 0.000253545, -0.0227384
I0.TN4:mvth0, 0.0675775, 0.0149982, 0.120157
I0.TN5:mbeta, 0.037166, -0.0125306, -0.0618014
I0.TN5:mvth0, 0.147803, -0.29025, -0.00535709
I0.TP10:mbeta, 0.00567343, -0.00173249, -0.00961437
I0.TP10:mvth0, 0.0184924, -0.00199157, -0.0349932
I0.TP1:mbeta, 0.0248065, 0.0426906, -0.00692239
I0.TP1:mvth0, 0.0118049, 0.0101266, -0.0134831
I0.TP2:mbeta, 0.0364169, 0.00916399, -0.0636698
I0.TP2:mvth0, 0.0275091, 0.0367981, 0.0182202
I0.TP3:mbeta, 0.017187, -0.0314521, -0.0029219
